Solution Name,Link,Summary,Who,Why,How,What,Category,Tags
device for mouth painting,https://tomglobal.org/project?id=65d1e922a3e42b7b7d51ae38,device for mouth painting,people that paint with their mouth. that people move only thier neck and cant bend their back or lean to the table.,"now, with no adjustments, they are depended on an external person to hold the surface with the colors for them, so they can reach to the colors only by moving their neck.","with the use of the device, the person take the paintbrush from the device and take the color that he chooses, and paints, independently.","device that stand on the table and  have the liquid paints\colors prapared for painting. the device also include the drawing page, so the person dont need to move with his wheelchair from side to side to take the colors to the drawing page. Tools needed Measurement tool Clamps Screwdriver set Hammer Monkey wrench Stanley knife Pull saw Electric Srewdriver FDM Printer",Hobbies,
The Grabber,https://tomglobal.org/project?id=5ca3885cb506a2297168a981,The team created a device that helps Kim grab things with her mouth and bring them closer for ease of use. This simple and elegant mechanical grabber is easy and inexpensive to produce. The success of the initial prototypes had shown many need-knowers what is possible. The Grabber is a device that allows the user to grab and move objects using your mouth. The device is intended for people who are unable to use their hands to grab or move objects.,,,,,Daily Living,priority; condition:amputee; bodypart:hand; activity:communication
Assistive Typing Tools for Amputated Fingers,https://tomglobal.org/project?id=67dad6f6256ef9001397ff61,Assistive Typing Tools for Amputated Fingers,People with amputated Fingers,These tools are designed to enable smooth and comfortable typing on a keyboard for individuals with amputated fingers.,"The tools offers two solutions: one extends the amputated finger, while the other stabilizes an additional finger for improved control and accuracy while typing.","Assistive Typing Tools for Amputated Fingers, Designed to Enable Fluent and More Comfortable Typing on a Keyboard. Tools needed PC or MAC I7 + Measurement tool Digital caliber FDM Printer Laser Cutter",Daily Living,
Wheel chair,https://tomglobal.org/project?id=5d981398b810e413a52814d4,lightweight wheelchair with the purpose of giving Jose Angel (the need knower) independence to play and move around the house and neighborhood.,,,,,Fun/Leisure,priority; condition:paralysis; bodypart:legs; assistivetool:wheelchair; general:games
Adaptive Archery Device,https://tomglobal.org/project?id=6796616c30ee740012da07f8,"Our solution offers an adaptive device that holds the bow, allowing the user to draw and shoot the bow independently.",Individuals with muscular dystrophy in wheelchairs who want to practice archery.,"This project is needed because people with muscular dystrophy can’t hold a bow on their own and often needs someone to assist them. The device allows them to practice archery independently, giving them a sense of freedom and achievement.",It removes the need to lift the bow's weight while providing the freedom of movement needed for archery. that way individuals with muscular dystrophy are able to shoot without any help from others.,"Our solution offers an adaptive device that holds the bow, allowing the user to draw and shoot the bow independently. Tools needed Prusa slicer Allen keys set Electric Srewdriver FDM Printer",Sports; Hobbies,
Wheelchair Umbrella,https://tomglobal.org/project?id=5e3b94f7d848736b09554582,"The device is intended to be used by those in a wheelchair needing support for an
umbrella regardless of wind condition and wheelchair design. Providing sufficient
coverage when moving from chair to vehicle.",,,,,Outdoor,condition:paralysis; bodypart:legs; assistivetool:wheelchair
Piano Pal - Stabilizing Arm Support for Playing the Piano,https://tomglobal.org/project?id=66fe099b6b07820013993862,Piano Pal - Stabilizing Arm Support for Playing the Piano,"This device is designed for individuals with arm weakness or reduced motor control. It provides support and stability, allowing users to focus on playing the piano without the added strain of controlling arm movement.","Beverly had a partial amputation in her left hand due to blood clots and has trouble controlling the right side of her body after suffering from a stroke. She loved playing the piano before her accidents, and she wants to be able to play again.","This solution will provide strength support, prevent hand tremors from impacting piano play, and allow for easy arm movement.",Our solution is a customized table that fits in front of a piano to provide arm support. The arm is strapped into a rolling ergonomic support cushion that slides efficiently to allow easy access to all of the keys on the right side of the piano. Tools needed Protective glasses Measurement tool Screwdriver set scissors Pull saw scissors sewing machine scissors Electric Srewdriver Hot glue gun Laser Cutter,Hobbies,
Guitar strummer,https://tomglobal.org/project?id=67e5074cfcd18500131b128e,Guitar strummer,Guitat players missing the srumming arm,To help people without an arm persue their passions and hobbies.,It will solve it completely by addresing the need and copying the movement of an arm.,"A mechnic that will strum the guitar automatically, changing strumming patterns by the choice of the user. Tools needed Measurement tool Pliers Cutter Dremel FDM Printer",Hobbies,
Stiwar's Desk,https://tomglobal.org/project?id=5d7a9678b810e413a5281165,"The device was designed for Stiwar, a young kid that suffers from cerebral paralysis. Stiwar has a limited range of motion, suffers from involuntary movements, and in addition is confined to a wheelchair. This device was designed to give Stiwar independence. The specific purpose of the device is for him to be able to reach everything he needs to study, paint, or play, without help from someone else. The device takes into consideration his limitations, he needs to approach the desk without standing up from his wheelchair, he can only grab objects in front of him, and objects that fall off are out of his reach. At the time Stiwar can not go to school because he would need constant help to do classwork and homework; hopefully, with the table, he can gain independence and can get enrolled in school.",,,,,Daily Living,condition:paralysis; condition:CP; assistivetool:wheelchair; condition:walking problems; condition:motor problems
How can we take care of the people in elderly care centers?,https://tomglobal.org/project?id=5ed3f9c35ea9e13b5a3af209,"TOM 2020 was a challenge the team was willing to take. Throughout these two weeks, the team designed three ideas that would help nursing homes in times of COVID-19. We wanted to create something that would assist the elderly whilst keeping in check their mental and physical health, and social necessities. Our first idea was to create some panels that could remove easily and simply assembled. These were principally meant for nursing homes that lack an individual infrastructure for each elderly, making sure that if one of them got symptoms of flu or infected by COVID-19 they could be isolated and stopped from spreading the virus. However, we still wanted to provide contact between the infected and the ones outside, so we designed the panels with covered windows and a plastic-like cloth space to play chess, board games, etc. Our second idea was to design an app that not only would remind the elderly of their medicine but would also give them entertainment and activities to do. With this, we wanted the patients to feel accompanied and motivated. Lastly, we wanted visits inside the nursing homes as safely as possible, so we made the design of a plastic-like, yet sustainable medical jumpsuit.",,,,,COVID19,technology:DIY; condition:hygiene
YogaFit Block – for custom hand support in yoga,https://tomglobal.org/project?id=6878b2a4d4eca1001430c006,"YogaFit Block is made for people who can’t fully stretch their fingers and have trouble placing their palms flat in yoga poses. We create a special angled hole in a foam block for the bent finger, so the hand can rest flat without pain. This helps keep balance and makes poses more comfortable.","YogaFit Block is designed for yoga practitioners with a fixed finger flexion or limited hand extension, who struggle to place their palms flat on the ground. It also suits anyone needing custom support for balanced hand positioning during practice.","Many yoga poses require placing the full palm on the floor. For individuals with fixed finger flexion, this becomes painful or impossible. YogaFit Block provides a simple, adaptive solution that reduces strain and restores balance.","YogaFit Block features a custom-angled hole that houses the flexed finger, preventing it from bearing weight or disrupting hand alignment. This allows the palm to rest fully on the block, enabling stable, pain-free contact with the ground during poses.","YogaFit Block is a dense foam block with a custom-angled hole that accommodates a flexed finger, allowing the hand to rest flat during yoga poses. A matching block without a hole supports the other hand, ensuring balance and symmetry. Tools needed Protective glasses Face shield Measurement tool Digital caliber Electric Srewdriver Jigsaw",Hobbies; Fun/Leisure,
Adaptive Mobility Trainer,https://tomglobal.org/project?id=64f58bd95a73c213940bdebd,A mobility trainer for indoor use / dry outdoor environments that is easily manufactured and assembled by people.,"This product is targeted for children of up to 5 years old, living with physical challenges, having diﬃculty moving independently in their home or schools and also for adults to push them around easily.",The proposed mobility trainer allows children with physical difficulties to safely navigate indoors with ease. Ideation and innovation are needed to ensure that the product can adapt as the child grows. Our team aims to locally source the needed materials in order to reduce overall production costs.,This product encourages the child to become independent in moving without the need of standing while being easy to stroll around when in need of assistance. Tools Needed CNC router 3D Printer Sandpaper / Sanding Sponge Microfiber cloth and water Rubber mallet/hammer Adjustable Wrenches Vacuum Gloves Screw Driver (Phillips) Long Nose Pliers *Optional* Electric Drill M4 Phillips head bit Sander Non-toxic markers Bill of Materials Please see detailed BOM and printing models in the downloadable product file. Estimated Time to Make 9 hrs of machine time 3 hrs of assembly time,A mobility trainer for indoor use / dry outdoor environments that is easily manufactured and assembled by people.,Daily Living,condition:paralysis; assistivetool:wheelchair; condition:walking problems; age:kids; condition:motor problems
Automatic Grabber,https://tomglobal.org/project?id=6806df21b1049f00124b7142,Automatic Grabber,"Some of the potential users of this product is anyone with low muscle tone, muscular dystrophy, wheelchair users, and anyone with reduced hand control.",Deklan often struggles with items in his way as he wheels around the house. Traditional grabbers are difficult for him to use and cause him to fatigue quickly. This grabber allowed Deklan to be more independent and even participate in his first egg hunt!,This grabber will allow Deklan to independently pick things up that he otherwise could not access while in his wheelchair while also reducing fatigue and muscle dystrophy.,"We are creating a switch powered automatic grabber. An automatic grabber can help Deklan do everything from participating in an Easter egg hunt for the first time to clearing his path on a daily basis, giving him more independence. Tools needed Protective glasses PC or MAC I7 + Fusion 360 Screwdriver set Allen keys set Needle-nose pliers Electric Srewdriver Hot air blower FDM Printer Stand Soldering set Cable stripper",Daily Living,
The Adjustable Dog Guide Harness,https://tomglobal.org/project?id=5ca3885cb506a2297168aa57,"The adjustable harness enables guide dog handlers to readjust the length and/or angle of the harness handle to suit their needs. For example, if the user’s shoes cause a significant change in height, they can lengthen the handle so they can stay safely and comfortably remain positioned beside the dog. The flex in the handle helps for the handle to meet the new position whilst still maintaining the required rigidity to enable the user to feel the dog’s movements. The design can be fitted to both fabric and leather harnesses.",,,,,Outdoor,priority; activity:dog walking
Sensory Chair,https://tomglobal.org/project?id=679695ef30ee740012da402c,Sensory Chair,Those in need of sensory input while seated,To provide safe and appropriate sensory input for individuals who require this input to function and complete daily tasks while sitting.,Our solution will provide sensory input for back and forth motion while seated which will allow for the client to gain the necessary input for them to complete their daily tasks and increase focus.,We are offering a stable chair with a built-in bungee backing to help the client gain the sensory input while in a sitting position. Tools needed Protective glasses Measurement tool Clamps Rubber Hammar Jigsaw,Daily Living,
The Rewind,https://tomglobal.org/project?id=662c2930853f090012ca065d,The Rewind,Everyone with a dog!,"Retractable leashes today are a safety hazard. They require large force inputs, and must be held manually, requiring users to multitask. This is especially hard for low-dexterity users. Everyone deserves a safe and easy to use leash for their dogs.","Our design minimizes the input force required to use, while ensuring the device is always on you with a comfortable write attachment feature. These features allow low-dexterity users to do one action at a time, ensuring their ease of use.",We are offering a solution for the difficulty of holding and pressing buttons a retractable leash. Tools needed Protective glasses PC or MAC I7 + Fusion 360 Prusa slicer Screwdriver set sewing machine Hot glue gun FDM Printer,Daily Living; Outdoor,
Parametric Upright iPad Enclosure,https://tomglobal.org/project?id=65dde1d7c360e629290810ba,Parametric Upright iPad Enclosure,We recently started working with Scott from the AIU for the past month. He developed a few sketches and ended up crafting his ideas into a helpful aid for iPads. We are currently working with him to upload his project into the TOM website.,"This project is needed for stability and safety in the class. Many students like to throw things that are in front of them including iPads. Not only does this break the iPads, but it can also injure a student.",The iPad Enclosure has slits in the bottom that allows a ratchet strap to pass through and wrap around the table. This firmly keeps the iPad steady and prevents the iPad from being thrown or easily removed.,The Solution being offered creates a fixed iPad holder that allows the students to have a safer more stable learning condition. Tools needed Protective glasses Fusion 360 Measurement tool Clamps Vise grip Circular saw,Daily Living,
Limb Attachment with Interchangeable Implements,https://tomglobal.org/project?id=65e4e33bc360e62929090fa4,Limb Attachment with Interchangeable Implements,Mathias is a 15-year old student that recently had all 4 limbs amputated. He is trying to gain more independence and navigating his new life as an amputee.,"We want to give Mathias, a quadruple amputee, the ability to eat, use a stylus, write, and paint.",This solution will allow Mathias to fulfill daily living tasks without hands or fingers,"We are creating a modular, adjustable, 3D printable limb attachment with interchangeable implements Tools needed Fusion 360 Vise grip Screwdriver set Allen keys set scissors sewing machine Electric Srewdriver Hot glue gun FDM Printer Soldering set Cable stripper",Daily Living; Hobbies; Fun/Leisure,
Hard Hat Headband,https://tomglobal.org/project?id=65ecbf0ec360e629290e9ccf,Hard Hat Headband,"Emily works for an oil pipeline company. Her job requires site visits where a hard hat is required. She has trouble wearing one because of where the straps fall on her head, which causes issues due to Chiari Malformation.","Chiari Malformation is when the brain is being pulled down through the skull and causes pressure on the brainstem. The straps of a hard hat press directly on that area, making a standard hard hat impossible to wear.",The soft knit band removes the pressure in a sensitive location to avoid Chiari symptoms. It resembles the typical practice of wearing a hat under a hard hat. It also keeps the hard hat stable on her head with a good fit to protect her on site.,This solution removes the section of the band causing pressure without compromising the protective suspension system of the hat. It is replaced with velcro and a knit fabric band that extends down her head. Tools needed Measurement tool sewing machine scissors,Daily Living,
Foot Eversion Wedges for Standing Frame,https://tomglobal.org/project?id=6710166c6b078200139ba876,Foot Eversion Wedges for Standing Frame,"Physical therapy patients can place our adjustable device on the foot plates of a standing frame to gently bias their feet toward eversion, helping them lie flat for proper support.","A standing frame is used in physical therapy to support patients who are severely weak or paralyzed in an upright position. However, patients with increased muscle tone in their feet may struggle to stand properly, as their feet cannot rest flat.",Our device will bias a patient’s foot towards eversion at varying degrees.,Our solution prevents physical therapy patients' with increased muscle tone feet from rolling to the outside while using a standing frame. Tools needed PC or MAC I7 + Fusion 360 Measurement tool Wood Filing Tool FDM Printer Laser Cutter,Therapy,
Finger Stability Stent,https://tomglobal.org/project?id=67e1ff4f256ef90013992f42,Finger Stability Stent,Individuals with limited finger/hand mobility that have trouble pinching and grabbing things.,To restore the ability of individuals with limited hand mobility to pinch handle things easily.,"Help picking up things (like keys, water bottles, pencil, etc) twisting things (door knobs) with less pain caused by Kenny's neuropathy.",A finger brace that stabilizes his index and middle finger which will allow him to pinch and grab things easier. Tools needed Measurement tool Cutter scissors Pull saw sewing machine set of needles Hot glue gun,Daily Living,
Tray Holder End Unit - TOM Arm Prosthesis,https://tomglobal.org/project?id=66d601a6cb3e430013d664ce,...,"This project was designed and developed with Noam, below-the-elbow amputee who hoped to achieve greater independence in the kitchen.",An arm amputation poses multiple challenges to the amputee’s ability to perform basic daily tasks such as using both hands to hold a plate or use the oven.,"This end unit has an ability to hold an oven tray grabber, which helps grab a hot or cold oven tray in and out of the oven. It also has the ability to hold plate and that lets the other arm to be free.",This is an adjustable kitchen plate/tray holder attachment that connects to the TOM Parametric Arm Prosthesis enabling an amputee to hold a plate or use the oven. Tools needed Protective glasses Fusion 360 Measurement tool Clamps Pliers Cutter Hammer Circular saw FDM Printer,Daily Living,
Communication Tool,https://tomglobal.org/project?id=65efb8afc360e629291656ef,Communication Tool,"The Need-Knower has Autism Spectrum Disorder, and has the mental capacity of a 4-year-old despite being 16.","This project is needed because the NK wants to communicate her wants and needs effectively to her caregivers. She tries to use her tablet, but ultimately gives up in the process, and is unable to express herself vocally, greatly impacting her life.",This solution will address the challenges by facilitating effective communication through an adaptive device that can either connect/add to her current communication tool (tablet) or provide a separate solution.,"The solution we are proposing is a Communication Tool similar to PECS, but adapted to her texture preferences and comprehensive abilities. Tools needed PC or MAC I7 + Cutter FDM Printer",Daily Living,
Towel Wringer,https://tomglobal.org/project?id=65db8ca94aeece0594f79c8a,Towel Wringer,Pache has rheumatoid arthritis which limits the dexterity in her hands. She needs a device that can help with wringing out a towel.,"This project is needed because wringing out a towel is a common, everyday task that requires a high level of dexterity and rotational movement of the hands. This task is very difficult, if not impossible, for individuals without full hand/ wrist mobility.","After placing the towel in the device, the lid will be pushed downwards and water will be expelled.","Our device will aid in wringing out a wet, small towel or sponge with little effort required by the user. Tools needed PC or MAC I7 + Screwdriver set FDM Printer",Daily Living,
Adapted Checkers and Backgammon,https://tomglobal.org/project?id=6818de393fc0650013986b64,Adapted Checkers and Backgammon,"This solution gives an alternative to playing checkers for those who lack finger dexterity or fine motor skills, but still retail fine wrist movement. This can also be used in physical therapy to train wrist movement.","This solution enables more people to play checkers. It also doubles as a way to train wrist movement that, according to our physical therapist consultant is especially difficult to build.",This solution lets the user depend on their wrist to pick up checker or backgammon pieces instead of their fingers.,We are offering a new checker said and hand/wrist attachment to be able to precisely move checkers without using your fingers. Tools needed Prusa slicer FDM Printer,Hobbies; Fun/Leisure,
PillPal,https://tomglobal.org/project?id=641746a14814d609abb840c9,PillPal,Elderly who wish to travel but are prescribed with multiple medications.,"Many of the elderly are prescribed with 5 or more long term medications per day.We aim to ease the burden on both the elderly as well as their care takers. Not only will they be on track with their medication, but they can also have a stress free vacation.","This device will remind elderly to take their medication on time by dispensing the given dosage at pre-set times with an in-built alarm system. In addition, caregivers do not have to pre-sort individual dosages.",Potable automated pill dispenser Tools needed PC or MAC I7 + Fusion 360 Measurement tool Screwdriver set Pliers Needle-nose pliers Cutter scissors Dremel Hot glue gun FDM Printer Soldering set Voltmeter Cable stripper Tester,Daily Living; Outdoor; Fun/Leisure,
Arm Support,https://tomglobal.org/project?id=662e58b5853f090012cc9ec7,Arm Support,Anyone with an arm cast,Traditional ways to support someone with arm cast involves a sling which ends up digging into the neck causing pain and discomfort. The neck was not made for weight bearing; the hips were. The solution aims to transfer the weight of the cast to the hips.,"This prevents the use of a sling. The hips were meant for load bearing. Additionally, in a humid country (like SG), this allows for better ventilation around the torso, reducing sweaty patches, allowing for a more effective and user friendly solution.",A completely 3D printed arm support that transfers the weight of the arm cast to the waist. Users can attach it to their belts and carry on with their life. Tools needed FDM Printer,Daily Living,
Assistive Mixer Knob Adapter System,https://tomglobal.org/project?id=6813d635ef498b0012caa11d,Assistive Mixer Knob Adapter System,"Individuals with limited hand dexterity—such as those with cerebral palsy, arthritis, or spinal cord injuries—who need to adjust knobs on audio equipment or similar interfaces independently. It can also benefit aging users or those recovering from injury.","Many audio tools lack accessible controls. This solution enables users with motor impairments to operate mixer knobs without assistance, promoting independence and inclusion in creative and professional audio work. It supports self-expression and creative","Ben lacks fine motor control and finger coordination, making it hard to pinch or grip knobs. This sleeve lets him turn knobs using broad hand or arm motions. Its friction fit allows easy, independent control—no precise finger movement needed.","We designed a non-motorized sleeve that tightly fits over mixer knobs. With protruding arms, it allows rotation using a palm, knuckle, or fist. A precise friction fit ensures the knob turns with the sleeve, enabling use without fine motor control. Tools needed PC or MAC I7 + Fusion 360 Prusa slicer Measurement tool FDM Printer",Daily Living; Hobbies; Fun/Leisure,
Easy Earnie,https://tomglobal.org/project?id=6510d7b4ed09cf6fe1bdab91,Easy Earnie,Fiona is a 41-year-old administrative coordinator in Camberwell who has a diagnosis of mild cerebral palsy which impacts the function within her left upper limb.,Fiona finds it difficult to independently don/doff her favourite screw-back earrings due to limited range of movement and dexterity within the left upper limb.,"Easy Earnie serves as an additional hand for Fiona, enabling her to grasp and manipulate the earring while using her unaffected hand to securely screw it in place.","A specialised earring application and removal device created to meet the unique requirements of people such as Fiona, who experience difficulties due to restricted fine motor skills and limited upper limb range of movement. Tools needed Heavy duty gloves Protective glasses Face shield Protective headphones Measurement tool Digital caliber Silicone gun Hot air blower Hot glue gun FDM Printer Soldering set studio backdrop stand",Daily Living,
Modular Accessible Gaming Controller,https://tomglobal.org/project?id=65e112d4c360e6292908a087,Modular Accessible Gaming Controller,Mathias is a 15-year-old student that recently had all 4 limbs amputated. He is trying to gain more independence and navigate his new life as an amputee.,"We want to give Mathias, a quadruple amputee, the ability to play video games independently",This solution will allow Mathias to play video games without needing hands or fingers.,We are creating an 3D printable accessible gaming pad. Tools needed Fusion 360 Measurement tool scissors Hot glue gun FDM Printer F-Crimp Soldering set Cable stripper,Hobbies; Fun/Leisure,
Mobile Emergency Armchair,https://tomglobal.org/project?id=674cbca88617b5001429b307,"A modified IKEA armchair equipped with wheels, designed to function as both a comfortable sitting option and a mobility aid for emergency situations.","This product is specifically for individuals with limited mobility who require a wheelchair, such as Gabriel, an elderly man living in Nahariya, a conflict zone within rocket and missile range.","In emergencies, Gabriel's inability to transfer quickly from his couch to a wheelchair prevents him from reaching a shelter in time. This delay compromises his safety during sudden alerts.","The armchair combines the comfort of a standard daily-use chair with the functionality of a wheelchair, eliminating the need for a transfer. It allows Gabriel to sit comfortably throughout the day and move to a protected area quickly and safely when needed. The dual-purpose design ensures that mobility is immediately available during emergencies without compromising daily comfort.","A modified IKEA armchair equipped with wheels, designed to function as both a comfortable sitting option and a mobility aid for emergency situations. Tools needed CNC Sandpaper - varying grits, up to at least 240 Brush for applying wood glue 2 No. 17 Wrenches Electric Screwdriver 3mm Twist Drill Bit Phillips Head Bit",Daily Living,technology:DIY; condition:paralysis; assistivetool:wheelchair; condition:walking problems; condition:motor problems
Umbrella,https://tomglobal.org/project?id=5dc351fd5cb35d632b07ee85,"The prototype is made up of two parts: a connector to the wheelchair and the mechanism to secure the umbrella. The connector is permanently secured to the wheelchair to allow for other devices to be attached in the future. The mechanism to hold the umbrella is secure enough to not let wind or other external forces disrupt the umbrella, but is mobile to be adjusted to Carrie’s preference.",,,,,5d48384f327725170bc5f96d,
Hands-Free Mouse,https://tomglobal.org/project?id=67acf83630ee740012debfff,Hands-Free Mouse,Individuals who are unable to use their arms/hands to click and scroll on their computer and have a computer that allows wired connections.,"Sally has bilateral epicondylitis, otherwise known as tennis-elbow, which makes it hard for her to use her arms when working on the computer. The goal of our project is to create a system that allows her to click, scroll, and move the mouse cursor through","The base has two buttons for left and right click and a scroll wheel. The foot mouse behaves as a mouse does and moves the cursor. Both systems are integrated and communicate with the user's computer to carry out click, scroll, and cursor functions.","A system that allows the user to click, scroll, and move their mouse cursor all through the use of their feet. Tools needed Prusa slicer scissors FDM Printer Soldering set",Daily Living,
Spoona,https://tomglobal.org/project?id=63b4a71df3e67771d294fbba,"A utensil holder that a pet – Donna, Bracha’s dog, in our case – can put in his or her mouth to feed their owner.","Bracha is an inspiring woman who is quadraplegic, yet has continued to experience a full life and explore her talents and passions such as creating art.","As a quadraplegic, Bracha is unable to feed herself on her own. Although she shared with us that her service dog, Donna, knows how to feed her, she rarely does so because they do not have the proper equipment to do so.","The spoon holder we created enables Donna, Bracha’s dog, to feed Bracha. It is made of a washable, lightweight, soft material so it is hygienic and comfortable for Donna, and securely holds a soft spoon so as to avoid the risk of hurting Bracha’s teeth.","A utensil holder that a pet – Donna, Bracha’s dog, in our case – can put in his or her mouth to feed their owner. Tools needed Face shield Protective headphones PC or MAC I7 + Fusion 360 Prusa slicer Measurement tool Vise grip Circular saw FDM Printer",Daily Living,
Hanukkiah For All - Electric Accessible Hanukkah Menorah,https://tomglobal.org/project?id=654cdb70bcee673bde4b6abf,Hanukkiah For All - Electric Accessible Hanukkah Menorah,The users for this project are people with disabilities who want to fully participate in Hanukkah ceremonies and traditions.,This Hanukkiah is designed to be accessible for people who may have limited dexterity or mobility challenges that make lighting traditional candles difficult or dangerous.,"The custom 3D printed design, battery powered lights, and adjustable button will enable those with dexterity, mobility, or other challenges to independently and safely light the Hanukkiah.",The solution I am offering is an open source 3D printed electric Hanukkiah that is customizable and accessible for people with disabilities. Tools needed PC or MAC I7 + Prusa slicer Cutter FDM Printer Soldering set Cable stripper,Daily Living; Hobbies; Fun/Leisure,
"Paris 2023 - Ergonomic throttle trigger ergonomically designed for left-hand | ""Gachette facile""",https://tomglobal.org/project?id=64abd248af33252175669d82,...,"Acceleration triggers on the market can only be operated with the right hand. Johan, whose disability limits the mobility his right hand, wanted a trigger that was ergonomic and could be operated with his left hand.","Acceleration triggers on the market can only be operated with the right hand. Johan, whose disability limits the mobility his right hand, wanted a trigger that was ergonomic and could be operated with his left hand.","The solution will make it possible to respond 100% to the need but also, will allow others to modify their trigger themselves. The trigger can also be reused for a right-handed person",Change a right-handed throttle trigger to a left-handed throttle trigger Tools needed Protective glasses PC or MAC I7 + Measurement tool Digital caliber Vise grip Screwdriver set Allen keys set Cutter Hammer FDM Printer CNC Machine Laser Cutter,Sports,
Bilateral Activity Table – Enabling Two-Handed Access,https://tomglobal.org/project?id=68888648a83a1d00122b120a,"A custom-made, height-adjustable floor table with a semi-circular cutout, designed to bring the surface close to the body and support two-handed access for children with upper-limb differences.","Designed for children with upper-limb differences, this solution also supports occupational therapists and families seeking to promote two-handed engagement, play, and independence in daily routines. Children with limb differences often struggle to access.","Children with limb differences often struggle to access standard tables. This solution provides a low, adaptive surface that supports two-handed use, enabling play, learning, and therapy that would otherwise be out of reach.","By bringing the tabletop closer to the torso and adjusting height per side, the table enables stable, comfortable use of both arms—supporting bilateral activity, improved reach, and greater independence during play and therapy.","A custom-made, height-adjustable floor table with a semi-circular cutout, designed to bring the surface close to the body and support two-handed access for children with upper-limb differences. Tools needed Heavy duty gloves Protective glasses Protective headphones PC or MAC I7 + Prusa slicer Measurement tool Clamps Screwdriver set RingOpen key set Pliers Cutter Hammer Rubber Hammar Electric Srewdriver CNC Machine",Daily Living; Therapy,
Walker Storage,https://tomglobal.org/project?id=644eb9bb4996735f844a43dd,Walker Storage,Lela is an 89 year women who suffered several pelvic fractures after a fall and relies on a walker for everyday mobility.,"Lela originally had a bag attached to the walker for storage, however it was unstable when she moved. She wanted a more secure place to store everyday objects, and wanted one that could be placed on the inside of the walker for safety reasons.","This will allow Lela to bring necessary items with her, whether it is needed around the house or going out in public. She will feel more secure having her belongings close to her and having a sturdy structure that does not restrict mobility.","A device that can attach to the walker, facing the inside, and store common items. Tools needed PC or MAC I7 + FDM Printer",Daily Living,
IRAZU: Quadriplegic's Mouth Joystick Mouse with Adaptive Puff-Click Controller,https://tomglobal.org/project?id=65cc013a9c60ec10f9179fd7,IRAZU: Quadriplegic's Mouth Joystick Mouse with Adaptive Puff-Click Controller,"Irazu is a device designed to alleviate the current hardware limitations for individuals with paralysis from the neck down, who cannot afford alternative control devices to operate their computers. It is distributed through a free do-it-yourself manual.","Commercially available assistive devices designed for people with quadriplegia can be prohibitively expensive. ""Irazu"" eliminates this barrier by providing a low-cost alternative that families, or their caregivers, can build themselves.","It offers an affordable and sustainable assistive device, enabling hands-free computer control, overcoming affordability barriers and improving the quality of life for those facing mobility challenges.","This low-cost, sustainable, and easy-to-build assistive technology device uses a hands-free interface, allowing users to control their computers using head or lip movements for cursor navigation and breathing control (blow) to click. Tools needed Screwdriver set Cutter scissors Hot glue gun Soldering set",Daily Living; Therapy; Hobbies; Fun/Leisure,
Reverse Vision for Wheelchairs,https://tomglobal.org/project?id=67e1580bb737fa00128be0f5,"The system uses a smartphone as a display running a custom app, connected to a rear-mounted webcam. This setup gives wheelchair users a clear rear view, improving mobility, accuracy, and independence.","Developed for a para-boccia athlete who can’t turn her head to look back, this reverse camera helps her stay within court boundaries. It also supports other wheelchair users needing better rear visibility and safety.","This project helps wheelchair users who can't turn their heads see behind them. It prevents errors like crossing boccia court lines and improves safety, precision, and independence in daily and sports activities.","By streaming live video from a rear webcam to a smartphone screen, the system gives users real-time rear visibility—solving the challenge of limited neck mobility and helping avoid obstacles or crossing boundaries during movement.","The system uses a smartphone as a display running a custom app, connected to a rear-mounted webcam. This setup gives wheelchair users a clear rear view, improving mobility, accuracy, and independence. Tools needed scissors Stanley knife",Daily Living; Sports; Hobbies,
Nana's Knife - Two Finger Cut,https://tomglobal.org/project?id=62bc17f8b5d54e22c71e8fb5,"Our device allows the user to cut a salad with just two fingers.
The armpit and hand area will be static, but the palm and
fingers will be dynamic. The device only connects to two
fingers with a cutting knife in between.","Our Need-Knower is Nana Mel, a 52-year-old breast cancer fighter. Since her surgery, during which surgeons removed samples from her breast and armpit area, Nana has experienced pain in her hand when cutting with a knife.","Many breast cancer patients undergo similar surgical procedures to Nana, as well as additional treatments such as chemotherapy and radiation, and as a result, struggle with a similar type of pain when using knives. This project aims to ease patients’ healing period and make everyday actions feel as normal as possible.",This solution secures a knife blade between two fingers to enable users to cut while keeping their shoulder static and wrist/hand muscles relaxed (no gripping required). Tools Needed 3D printer Hot Glue Gun Tin snips (tool that can cut metal) Bill of Materials Please see detailed BOM and printing models in the downloadable product file. Estimated Time to Make 1 hour of print time 0.3 hours of assembly time,Nana’s Knife - the Two Finger Cut tool is designed to help users with limited shoulder-through-palm mobility to cut with a knife with ease.,Daily Living,bodypart:hand; technology:3D Printing; general:handle; bodypart:fingers; activity:eat
